City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Isangel,VU,-19.55,169.2667,73.31,85,43,9.91,scattered clouds
79,Ahipara,NZ,-35.1667,173.1667,56.48,96,13,1.7,few clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,70.41,85,95,8.52,overcast clouds
81,Kahului,US,20.8947,-156.47,76.84,87,100,3.0,overcast clouds
82,Hobart,AU,-42.8794,147.3294,46.26,84,75,3.0,broken clouds
83,Caravelas,BR,-17.7125,-39.2481,85.17,61,43,11.03,scattered clouds
84,Torbay,CA,47.6666,-52.7314,61.75,96,90,16.11,light intensity shower rain
85,Conde,BR,-7.2597,-34.9075,81.86,74,75,14.97,broken clouds
86,Yabelo,ET,4.8833,38.0833,75.09,36,78,9.17,broken clouds
87,Tiksi,RU,71.6872,128.8694,4.17,97,100,7.78,overcast clouds
88,Sitka,US,57.0531,-135.33,41.56,88,86,6.08,overcast clouds
89,Port-Cartier,CA,50.0334,-66.8654,47.75,85,100,6.62,overcast clouds
90,Provideniya,RU,64.3833,-173.3,20.12,81,74,8.01,broken clouds
91,Mataura,NZ,-46.1927,168.8643,51.19,93,98,0.51,overcast clouds
92,Fort-Shevchenko,KZ,44.5086,50.263,58.17,57,33,5.21,scattered clouds
93,Lazaro Cardenas,MX,17.9583,-102.2,77.04,86,100,4.07,overcast clouds
94,Lavrentiya,RU,65.5833,-171.0,22.21,86,100,10.63,overcast clouds
95,Mumford,GH,5.2618,-0.759,81.3,78,42,10.2,light rain
96,Yerbogachen,RU,61.2767,108.0108,34.52,97,100,11.43,light rain
97,Alofi,NU,-19.0595,-169.9187,69.69,78,54,8.05,broken clouds
98,Carmen,MX,18.6333,-91.8333,80.64,89,40,6.91,scattered clouds
99,Lebu,CL,-37.6167,-73.65,56.07,73,4,7.65,clear sky
100,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,6.91,broken clouds
101,Khatanga,RU,71.9667,102.5,0.45,91,72,16.37,broken clouds
102,Greenwood,US,34.1668,-82.1165,62.55,60,90,3.87,overcast clouds
103,Banjar,ID,-8.19,114.9675,80.46,88,100,5.03,overcast clouds
104,Cockburn Town,TC,21.4612,-71.1419,82.6,74,16,18.59,few clouds
105,Timiryazevskiy,RU,56.49,84.8769,45.55,77,9,9.73,clear sky
106,Kruisfontein,ZA,-34.0033,24.7314,64.89,41,47,10.51,scattered clouds
107,Te Anau,NZ,-45.4167,167.7167,49.62,98,78,0.58,broken clouds
108,Pringsewu,ID,-5.3582,104.9744,75.33,95,93,3.27,overcast clouds
109,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,75,16.11,broken clouds
110,Chara,RU,56.9064,118.2631,28.89,64,16,1.61,few clouds
111,Baki,ID,-7.6128,110.7839,77.47,81,59,5.68,light rain
112,Bethel,US,41.3712,-73.414,52.0,88,0,3.2,clear sky
113,Mount Isa,AU,-20.7333,139.5,78.57,53,75,20.71,broken clouds
114,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,55,23,7.11,few clouds
115,Abbeville,FR,50.1,1.8333,58.68,52,93,9.82,overcast clouds
116,Thinadhoo,MV,0.5333,72.9333,83.68,70,20,13.22,few clouds
117,Harper,LR,4.375,-7.7169,80.2,82,98,8.57,light rain
118,Tugulym,RU,57.0591,64.6425,42.87,97,100,6.82,light rain
119,Asfi,MA,32.2994,-9.2372,72.32,63,92,13.98,overcast clouds
120,Tazmalt,DZ,36.3868,4.3989,68.72,51,31,7.58,scattered clouds
121,Port Macquarie,AU,-31.4333,152.9167,63.9,77,100,5.77,overcast clouds
122,San Patricio,US,28.017,-97.5169,80.89,86,0,8.72,clear sky
123,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,13,11.74,few clouds
124,Severo-Kurilsk,RU,50.6789,156.125,38.03,73,70,12.37,broken clouds
125,Husavik,IS,66.0449,-17.3389,33.71,96,100,4.52,overcast clouds
126,Lopik,NL,51.9725,4.9486,59.09,70,6,1.99,clear sky
127,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,32,8.46,scattered clouds
128,Fortuna,US,40.5982,-124.1573,60.19,74,90,4.0,overcast clouds
129,Oranjestad,AW,12.524,-70.027,82.71,79,59,23.6,broken clouds
130,Zaozerne,UA,45.1582,33.2787,51.94,46,5,15.73,clear sky
131,Jamestown,US,42.097,-79.2353,46.51,99,90,3.0,mist
132,Makarov,RU,48.6333,142.8,38.03,71,0,4.18,clear sky
133,Haapiti,PF,-17.5667,-149.8667,73.13,93,100,10.09,heavy intensity rain
134,Pevek,RU,69.7008,170.3133,8.28,92,100,0.34,overcast clouds
135,Kapaa,US,22.0752,-159.319,73.18,89,100,12.71,overcast clouds
136,Port-Gentil,GA,-0.7193,8.7815,78.8,83,68,8.03,broken clouds
137,Cabadiangan,PH,9.7531,122.4739,77.79,89,100,2.82,overcast clouds
138,Airai,TL,-8.9266,125.4092,63.45,91,94,1.36,overcast clouds
139,Castro,BR,-24.7911,-50.0119,60.73,98,100,4.99,moderate rain
140,Cherskiy,RU,68.75,161.3,-8.9,98,100,6.04,overcast clouds
141,Doaba,PK,33.4244,70.7364,62.26,57,4,3.69,clear sky
142,Kampot,KH,10.6167,104.1833,82.45,88,99,6.93,light rain
143,Lagoa,PT,39.05,-27.9833,65.95,62,1,9.51,clear sky
144,Sooke,CA,48.3746,-123.7276,53.08,86,100,17.78,overcast clouds
145,Troitsko-Pechorsk,RU,62.7084,56.1964,25.93,96,100,2.21,overcast clouds
146,Corinto,GR,37.9407,22.9573,73.62,67,100,8.05,overcast clouds
147,Narva-Joesuu,EE,59.4589,28.0408,37.74,62,82,7.76,light rain
148,Brodokalmak,RU,55.5748,62.082,52.7,82,100,20.51,light rain
149,Upernavik,GL,72.7868,-56.1549,17.83,64,100,9.44,overcast clouds
150,Lata,PT,40.1629,-8.3327,76.5,44,0,5.99,clear sky
151,Geraldton,AU,-28.7667,114.6,66.61,77,90,14.97,overcast clouds
152,Kidal,ML,18.4411,1.4078,99.79,16,36,4.88,scattered clouds
153,Ola,RU,59.5833,151.2833,23.86,61,30,5.73,scattered clouds
154,Marathon,US,44.9,-89.7668,36.81,83,1,5.75,clear sky
155,Mulchen,CL,-37.7167,-72.2333,64.24,42,2,5.35,clear sky
156,Stillwater,US,36.1156,-97.0584,72.88,79,100,7.0,overcast clouds
157,Rio Gallegos,AR,-51.6226,-69.2181,45.01,73,100,25.93,light rain
158,Karratha,AU,-20.7377,116.8463,80.26,55,5,10.87,clear sky
159,Creel,MX,27.75,-107.6333,44.35,71,0,3.44,clear sky
160,Svetlogorsk,BY,52.6333,29.7333,40.14,58,100,9.73,overcast clouds
161,Mlowo,TZ,-9.0,32.9833,85.84,22,74,4.45,broken clouds
162,Moerai,PF,-22.4333,-151.3333,71.87,66,97,10.58,overcast clouds
163,Seminole,US,28.7086,-81.2081,82.98,88,1,6.91,clear sky
164,Congonhas,BR,-20.4997,-43.8578,74.34,75,100,9.22,overcast clouds
165,Aklavik,CA,68.2191,-135.0107,25.52,96,81,2.19,broken clouds
166,Lorengau,PG,-2.0226,147.2712,82.0,76,100,6.62,overcast clouds
167,Broome,US,42.2506,-75.833,47.8,86,75,1.01,broken clouds
168,Srednekolymsk,RU,67.45,153.6833,-10.14,96,99,3.09,overcast clouds
169,Korla,CN,41.7597,86.1469,53.46,33,0,1.5,clear sky
170,Kodiak,US,57.79,-152.4072,42.19,91,68,9.42,light rain
171,Tombouctou,ML,20.0,-3.0,98.69,15,6,6.69,clear sky
172,Mitsamiouli,KM,-11.3847,43.2844,81.12,76,2,9.13,clear sky
173,Namibe,AO,-15.1961,12.1522,73.47,59,6,12.24,clear sky
174,Havre,FR,49.5833,0.3333,61.57,67,0,12.66,clear sky
175,Gat,IL,31.61,34.7642,77.4,6,0,14.09,clear sky
176,Faya,SA,18.3851,42.4509,68.41,33,4,9.55,clear sky
177,East London,ZA,-33.0153,27.9116,64.76,55,45,8.97,scattered clouds
178,Sabana De Torres,CO,7.3915,-73.4957,79.03,84,99,0.96,overcast clouds
179,Boyolangu,ID,-8.1181,111.8935,76.96,83,100,3.02,overcast clouds
180,Vyyezdnoye,RU,55.3815,43.7864,37.85,94,100,11.07,overcast clouds
